n,Tiempo_1
4096,8e-06
6144,1.1e-05
8192,1.5e-05
12288,2.2e-05
16384,2.9e-05
32768,5.7e-05
65536,9.8e-05
98304,0.000146
131072,0.000195
163840,0.000271
196608,0.000303
262144,0.000397
327680,0.000505
524288,0.000795
786432,0.001174
917504,0.001374
1048576,0.00157
1310720,0.001973
1742848,0.002628
1802240,0.002718
1911728,0.002883
2097152,0.003169
3145728,0.004763
4194304,0.006349
8388608,0.012702
12582912,0.01906
16777216,0.025431
20971520,0.031778
33554432,0.050842
67108864,0.101736
134217728,0.203603
